"AU"	"TI"	"PY"	"DI"	"UT"
"Rebola, J; Castelo-Branco, M"	"Visual areas PPA and pSTS diverge from other processing modules during perceptual closure: Functional dichotomies within category selective networks"	"2014"	"10.1016/j.neuropsychologia.2014.06.010"	"WOS:000340980400014"
"Meunier, D; Fonlupt, P; Saive, AL; Plailly, J; Ravel, N; Royet, JP"	"Modular structure of functional networks in olfactory memory"	"2014"	"10.1016/j.neuroimage.2014.03.041"	"WOS:000337267900024"
"Xu, XM; Clark, US; David, SP; Mulligan, RC; Knopik, VS; McGeary, J; MacKillop, J; McCaffery, J; Niaura, RS; Sweet, LH"	"The Effects of Nicotine Deprivation and Replacement on BOLD-fMRI Response to Smoking Cues as a Function of DRD4 VNTR Genotype"	"2014"	"10.1093/ntr/ntu010"	"WOS:000338127200005"
"Shin, YS; Kim, HY; Han, S"	"Neural correlates of social perception on response bias"	"2014"	"10.1016/j.bandc.2014.04.012"	"WOS:000337777700008"
"Cross, KA; Iacoboni, M"	"Neural systems for preparatory control of imitation"	"2014"	"10.1098/rstb.2013.0176"	"WOS:000335563600005"
"Edelson, MG; Dudai, Y; Dolan, RJ; Sharot, T"	"Brain Substrates of Recovery from Misleading Influence"	"2014"	"10.1523/JNEUROSCI.4720-13.2014"	"WOS:000337630700003"
"Wang, JX; Voss, JL"	"Brain Networks for Exploration Decisions Utilizing Distinct Modeled Information Types during Contextual Learning"	"2014"	"10.1016/j.neuron.2014.04.028"	"WOS:000337359800021"
"Kuhn, S; Haggard, P; Brass, M"	"Differences between endogenous and exogenous emotion inhibition in the human brain"	"2014"	"10.1007/s00429-013-0556-0"	"WOS:000335737900024"
"Van Hoeck, N; Begtas, E; Steen, J; Kestemont, J; Vandekerckhove, M; Van Overwalle, F"	"False belief and counterfactual reasoning in a social environment"	"2014"	"10.1016/j.neuroimage.2013.12.043"	"WOS:000338909500032"
"Doneva, SP; Cole, GG"	"The Role of Attention in a Joint-Action Effect"	"2014"	"10.1371/journal.pone.0091336"	"WOS:000333259900019"
"Roth, JK; Johnson, MK; Tokoglu, F; Murphy, I; Constable, RT"	"Modulating Intrinsic Connectivity: Adjacent Subregions within Supplementary Motor Cortex, Dorsolateral Prefrontal Cortex, and Parietal Cortex Connect to Separate Functional Networks during Task and Also Connect during Rest"	"2014"	"10.1371/journal.pone.0090672"	"WOS:000333254100007"
"Leshikar, ED; Duarte, A"	"Medial prefrontal cortex supports source memory for self-referenced materials in young and older adults"	"2014"	"10.3758/s13415-013-0198-y"	"WOS:000334056100019"
"Greening, S; Norton, L; Virani, K; Ty, A; Mitchell, D; Finger, E"	"Individual differences in the anterior insula are associated with the likelihood of financially helping versus harming others"	"2014"	"10.3758/s13415-013-0213-3"	"WOS:000334056100021"
"Aguirre, GK"	"Functional Neuroimaging: Technical, Logical, and Social Perspectives"	"2014"	"10.1002/hast.294"	"WOS:000333670300002"
"Cassidy, BS; Hedden, T; Yoon, C; Gutchess, AH"	"Age differences in medial prefrontal activity for subsequent memory of truth value"	"2014"	"10.3389/fpsyg.2014.00087"	"WOS:000331286900001"
"Strang, S; Utikal, V; Fischbacher, U; Weber, B; Falk, A"	"Neural Correlates of Receiving an Apology and Active Forgiveness: An fMRI Study"	"2014"	"10.1371/journal.pone.0087654"	"WOS:000330829200062"
"Beyer, F; Munte, TF; Kramer, UM"	"Increased neural reactivity to socio-emotional stimuli links social exclusion and aggression"	"2014"	"10.1016/j.biopsycho.2013.12.008"	"WOS:000331107300014"
"Chow, HM; Mar, RA; Xu, YS; Liu, SY; Wagage, S; Braun, AR"	"Embodied Comprehension of Stories: Interactions between Language Regions and Modality-specific Neural Systems"	"2014"	"10.1162/jocn_a_00487"	"WOS:000329162600006"
"Parkinson, C; Liu, S; Wheatley, T"	"A Common Cortical Metric for Spatial, Temporal, and Social Distance"	"2014"	"10.1523/JNEUROSCI.2159-13.2014"	"WOS:000331455000038"
"Zhao, Q; Zhou, Z; Xu, H; Fan, W; Han, L"	"NEURAL PATHWAY IN THE RIGHT HEMISPHERE UNDERLIES VERBAL INSIGHT PROBLEM SOLVING"	"2014"	"10.1016/j.neuroscience.2013.10.019"	"WOS:000330485500033"
"Peng, DC; Dai, XJ; Gong, HH; Li, HJ; Nie, X; Zhang, W"	"Altered intrinsic regional brain activity in male patients with severe obstructive sleep apnea: a resting-state functional magnetic resonance imaging study"	"2014"	"10.2147/NDT.S67805"	"WOS:000341936600001"
"Braadbaart, L; de Grauw, H; Perrett, DI; Waiter, GD; Williams, JHG"	"The shared neural basis of empathy and facial imitation accuracy"	"2014"	"10.1016/j.neuroimage.2013.08.061"	"WOS:000328868600033"
"Saggar, M; Shelly, EW; Lepage, JF; Hoeft, F; Reiss, AL"	"Revealing the neural networks associated with processing of natural social interaction and the related effects of actor-orientation and face-visibility"	"2014"	"10.1016/j.neuroimage.2013.09.046"	"WOS:000328868600059"
"Lidzba, K; Ebner, K; Hauser, TK; Wilke, M"	"Complex Visual Search in Children and Adolescents: Effects of Age and Performance on fMRI Activation"	"2013"	"10.1371/journal.pone.0085168"	"WOS:000328882000179"
"Wright, MJ; Bishop, DT; Jackson, RC; Abernethy, B"	"Brain regions concerned with the identification of deceptive soccer moves by higher-skilled and lower-skilled players"	"2013"	"10.3389/fnhum.2013.00851"	"WOS:000329196400001"
"Azevedo, RT; Macaluso, E; Avenanti, A; Santangelo, V; Cazzato, V; Aglioti, SM"	"Their Pain is Not Our Pain: Brain and Autonomic Correlates of Empathic Resonance With the Pain of Same and Different Race Individuals"	"2013"	"10.1002/hbm.22133"	"WOS:000326068700005"
"Langeslag, SJE; Schmidt, M; Ghassabian, A; Jaddoe, VW; Hofman, A; van der Lugt, A; Verhulst, FC; Tiemeier, H; White, TJH"	"Functional Connectivity between Parietal and Frontal Brain Regions and Intelligence in Young Children: The Generation R Study"	"2013"	"10.1002/hbm.22143"	"WOS:000326068700014"
"Brennan, C; Cao, F; Pedroarena-Leal, N; McNorgan, C; Booth, JR"	"Reading Acquisition Reorganizes the Phonological Awareness Network Only in Alphabetic Writing Systems"	"2013"	"10.1002/hbm.22147"	"WOS:000326068700019"
"Verbeke, W; Bagozzi, RP; van den Berg, WE; Lemmens, A"	"Polymorphisms of the OXTR gene explain why sales professionals love to help customers"	"2013"	"10.3389/fnbeh.2013.00171"	"WOS:000327782500001"
"Kang, P; Lee, J; Sul, S; Kim, H"	"Dorsomedial prefrontal cortex activity predicts the accuracy in estimating others' preferences"	"2013"	"10.3389/fnhum.2013.00686"	"WOS:000327935200001"
"Zhan, JY; Yu, HB; Zhou, XL"	"fMRI evidence for the interaction between orthography and phonology in reading Chinese compound words"	"2013"	"10.3389/fnhum.2013.00753"	"WOS:000327935400001"
"Smallwood, J; Gorgolewski, KJ; Golchert, J; Ruby, FJM; Engen, H; Baird, B; Vinski, MT; Schooler, JW; Margulies, DS"	"The default modes of reading: modulation of posterior cingulate and medial prefrontal cortex connectivity associated with comprehension and task focus while reading"	"2013"	"10.3389/fnhum.2013.00734"	"WOS:000326785000001"
"Regenbogen, C; Habel, U; Kellermann, T"	"Connecting multimodality in human communication"	"2013"	"10.3389/fnhum.2013.00754"	"WOS:000326676600001"
"Powers, KE; Somerville, LH; Kelley, WM; Heatherton, TF"	"Rejection Sensitivity Polarizes Striatal-Medial Prefrontal Activity When Anticipating Social Feedback"	"2013"	"10.1162/jocn_a_00446"	"WOS:000330520200008"
"Apps, MAJ; Tsakiris, M"	"Predictive codes of familiarity and context during the perceptual learning of facial identities"	"2013"	"10.1038/ncomms3698"	"WOS:000328019800001"
"Fairhurst, MT; Janata, P; Keller, PE"	"Being and Feeling in Sync with an Adaptive Virtual Partner: Brain Mechanisms Underlying Dynamic Cooperativity"	"2013"	"10.1093/cercor/bhs243"	"WOS:000325761100007"
"Jang, G; Yoon, SA; Lee, SE; Park, H; Kim, J; Ko, JH; Park, HJ"	"Everyday conversation requires cognitive inference: Neural bases of comprehending implicated meanings in conversations"	"2013"	"10.1016/j.neuroimage.2013.05.027"	"WOS:000322934400006"
"Perry, D; Walder, K; Hendler, T; Shamay-Tsoory, SG"	"The gender you are and the gender you like: Sexual preference and empathic neural responses"	"2013"	"10.1016/j.brainres.2013.08.040"	"WOS:000325594800007"
"Carlson, JM; Cha, J; Mujica-Parodi, LR"	"Functional and structural amygdala - Anterior cingulate connectivity correlates with attentional bias to masked fearful faces"	"2013"	"10.1016/j.cortex.2013.07.008"	"WOS:000326008600028"
"Ramsey, R; Cross, ES; Hamilton, AFD"	"Supramodal and modality-sensitive representations of perceived action categories in the human brain"	"2013"	"10.1007/s00221-013-3659-1"	"WOS:000324642700009"
"Colton, G; Leshikar, ED; Gutchess, AH"	"Age differences in neural response to stereotype threat and resiliency for self-referenced information"	"2013"	"10.3389/fnhum.2013.00537"	"WOS:000324021300001"
"Contreras, JM; Schirmer, J; Banaji, MR; Mitchell, JP"	"Common Brain Regions with Distinct Patterns of Neural Responses during Mentalizing about Groups and Individuals"	"2013"	"10.1162/jocn_a_00403"	"WOS:000330519700002"
"Verosky, SC; Todorov, A; Turk-Browne, NB"	"Representations of individuals in ventral temporal cortex defined by faces and biographies"	"2013"	"10.1016/j.neuropsychologia.2013.07.006"	"WOS:000328005500006"
"Guo, XY; Zheng, L; Zhu, L; Li, JQ; Wang, QF; Dienes, Z; Yang, ZL"	"Increased neural responses to unfairness in a loss context"	"2013"	"10.1016/j.neuroimage.2013.03.048"	"WOS:000320073900024"
"Porges, EC; Decety, J"	"Violence as a source of pleasure or displeasure is associated with specific functional connectivity with the nucleus accumbens"	"2013"	"10.3389/fnhum.2013.00447"	"WOS:000323029500001"
"Carvajal, F; Rubio, S; Serrano, JM; Rios-Lago, M; Alvarez-Linera, J; Pacheco, L; Martin, P"	"Is a neutral expression also a neutral stimulus? A study with functional magnetic resonance"	"2013"	"10.1007/s00221-013-3578-1"	"WOS:000321868300007"
"Crockett, MJ; Braams, BR; Clark, L; Tobler, PN; Robbins, TW; Kalenscher, T"	"Restricting Temptations: Neural Mechanisms of Precommitment"	"2013"	"10.1016/j.neuron.2013.05.028"	"WOS:000322426200016"
"Tamber-Rosenau, BJ; Dux, PE; Tombu, MN; Asplund, CL; Marois, R"	"Amodal Processing in Human Prefrontal Cortex"	"2013"	"10.1523/JNEUROSCI.4601-12.2013"	"WOS:000321622600022"
"Ammann, R; Keck, V; Wassmann, J"	"The Sound of a Person A Music-Cognitive Study in the Finisterre Range in Papua New Guinea"	"2013"	"10.1002/ocea.5012"	"WOS:000321705300001"
"Gingnell, M; Engman, J; Frick, A; Moby, L; Wikstrom, J; Fredrikson, M; Sundstrom-Poromaa, I"	"Oral contraceptive use changes brain activity and mood in women with previous negative affect on the pill-A double-blinded, placebo-controlled randomized trial of a levonorgestrel-containing combined oral contraceptive"	"2013"	"10.1016/j.psyneuen.2012.11.006"	"WOS:000320412400018"
"Wardle, MC; Fitzgerald, DA; Angstadt, M; Sripada, CS; McCabe, K; Phan, KL"	"The Caudate Signals Bad Reputation during Trust Decisions"	"2013"	"10.1371/journal.pone.0068884"	"WOS:000322342800151"
"Cacioppo, S; Frum, C; Asp, E; Weiss, RM; Lewis, JW; Cacioppo, JT"	"A Quantitative Meta-Analysis of Functional Imaging Studies of Social Rejection"	"2013"	"10.1038/srep02027"	"WOS:000320577000009"
"Latinus, M; McAleer, P; Bestelmeyer, PEG; Belin, P"	"Norm-Based Coding of Voice Identity in Human Auditory Cortex"	"2013"	"10.1016/j.cub.2013.04.055"	"WOS:000320682800020"
