"AU"	"TI"	"PY"	"DI"	"UT"
"Sharp, PB; Heller, W; Telzer, EH"	"Selective neural sensitivity to familial threat in adolescents with weak family bonds"	"2019"	"10.1080/17470919.2017.1397545"	"WOS:000452724400007"
"Liu, ZY; Zheng, L; Li, L; Xu, JL; Cheng, XM; Guo, XY; Mulcahy, J; Xu, M"	"Social comparison modulates the neural responses to regret and subsequent risk-taking behavior"	"2018"	"10.1093/scan/nsy066"	"WOS:000456664300006"
"Morelli, SA; Knutson, B; Zaki, J"	"Neural sensitivity to personal and vicarious reward differentially relates to prosociality and well-being"	"2018"	"10.1093/scan/nsy056"	"WOS:000444326700005"
"Chester, DS; Lynam, DR; Milich, R; DeWall, CN"	"Neural mechanisms of the rejection-aggression link"	"2018"	"10.1093/scan/nsy025"	"WOS:000434096400006"
"Saarimaki, H; Ejtehadian, LF; Glerean, E; Jaaskelainen, IP; Vuilleumier, P; Sams, M; Nummenmaa, L"	"Distributed affective space represents multiple emotion categories across the human brain"	"2018"	"10.1093/scan/nsy018"	"WOS:000434096400003"
"van Schie, CC; Chiu, CD; Rombouts, SARB; Heiser, WJ; Elzinga, BM"	"When compliments do not hit but critiques do: an fMRI study into self-esteem and self-knowledge in processing social feedback"	"2018"	"10.1093/scan/nsy014"	"WOS:000432296800006"
"Klasen, M; von Marschall, C; Isman, G; Zvyagintsev, M; Gur, RC; Mathiak, K"	"Prosody production networks are modulated by sensory cues and social context"	"2018"	"10.1093/scan/nsy015"	"WOS:000432296800007"
"Wasylyshyn, N; Falk, BH; Garcia, JO; Cascio, CN; O'Donnell, MB; Bingham, CR; Simons-Morton, B; Vettel, JM; Falk, EB"	"Global brain dynamics during social exclusion predict subsequent behavioral conformity"	"2018"	"10.1093/scan/nsy007"	"WOS:000427017200005"
"Karle, KN; Ethofer, T; Jacob, H; Bruck, C; Erb, M; Lotze, M; Nizielski, S; Schutz, A; Wildgruber, D; Kreifelts, B"	"Neurobiological correlates of emotional intelligence in voice and face perception networks"	"2018"	"10.1093/scan/nsy001"	"WOS:000427017200010"
"Eres, R; Louis, WR; Molenberghs, P"	"Common and distinct neural networks involved in fMRI studies investigating morality: an ALE meta-analysis"	"2018"	"10.1080/17470919.2017.1357657"	"WOS:000432248300001"
"Solanas, MP; Zhan, MY; Vaessen, M; Hortensius, R; Engelen, T; de Gelder, B"	"Looking at the face and seeing the whole body. Neural basis of combined face and body expressions"	"2018"	"10.1093/scan/nsx130"	"WOS:000419578600014"
"Yankouskaya, A; Humphreys, G; Stolte, M; Stokes, M; Moradi, Z; Sui, J"	"An anterior-posterior axis within the ventromedial prefrontal cortex separates self and reward"	"2017"	"10.1093/scan/nsx112"	"WOS:000419578300003"
"Huskey, R; Mangus, JM; Turner, BO; Weber, R"	"The persuasion network is modulated by drug-use risk and predicts anti-drug message effectiveness"	"2017"	"10.1093/scan/nsx126"	"WOS:000419578300007"
"Chang, H; Sprute, L; Maloney, EA; Beilock, SL; Berman, MG"	"Simple arithmetic: not so simple for highly math anxious individuals"	"2017"	"10.1093/scan/nsx121"	"WOS:000419578300010"
"Park, B; Blevins, E; Knutson, B; Tsai, JL"	"Neurocultural evidence that ideal affect match promotes giving"	"2017"	"10.1093/scan/nsx047"	"WOS:000405696600006"
"Sevinc, G; Gurvit, H; Spreng, RN"	"Salience network engagement with the detection of morally laden information"	"2017"	"10.1093/scan/nsx035"	"WOS:000405696600009"
"Kuhlen, AK; Bogler, C; Brennan, SE; Haynes, JD"	"Brains in dialogue: decoding neural preparation of speaking to a conversational partner"	"2017"	"10.1093/scan/nsx018"	"WOS:000405696100001"
"Reicherts, P; Wiemer, J; Gerdes, ABM; Schulz, SM; Pauli, P; Wieser, MJ"	"Anxious anticipation and pain: the influence of instructed vs conditioned threat on pain"	"2017"	"10.1093/scan/nsw181"	"WOS:000404548900004"
"Marusak, HA; Zundel, CG; Brown, S; Rabinak, CA; Thomason, ME"	"Convergent behavioral and corticolimbic connectivity evidence of a negativity bias in children and adolescents"	"2017"	"10.1093/scan/nsw182"	"WOS:000404548900001"
"Anderson, BA"	"Reward processing in the value-driven attention network: reward signals tracking cue identity and location"	"2017"	"10.1093/scan/nsw141"	"WOS:000404547900011"
"Brooks, JA; Shablack, H; Gendron, M; Satpute, AB; Parrish, MH; Lindquist, KA"	"The role of language in the experience and perception of emotion: a neuroimaging meta-analysis"	"2017"	"10.1093/scan/nsw121"	"WOS:000397312200001"
"Goodyear, K; Parasuraman, R; Chernyak, S; de Visser, E; Madhavan, P; Deshpande, G; Krueger, F"	"An fMRI and effective connectivity study investigating miss errors during advice utilization from human and machine agents"	"2017"	"10.1080/17470919.2016.1205131"	"WOS:000405614900009"
"Gonzalez, MZ; Beckes, L; Chango, J; Allen, JP; Coan, JA"	"Adolescent neighborhood quality predicts adult dACC response to social exclusion"	"2015"	"10.1093/scan/nsu137"	"WOS:000365538600005"
"Wagner, U; Galli, L; Schott, BH; Wold, A; van der Schalk, J; Manstead, ASR; Scherer, K; Walter, H"	"Beautiful friendship: Social sharing of emotions improves subjective feelings and activates the neural reward circuitry"	"2015"	"10.1093/scan/nsu121"	"WOS:000356272800004"
"Wang, Y; Hamilton, AFD"	"Anterior medial prefrontal cortex implements social priming of mimicry"	"2015"	"10.1093/scan/nsu076"	"WOS:000353546800003"
"Greenberg, T; Carlson, JM; Rubin, D; Cha, J; Mujica-Parodi, L"	"Anticipation of high arousal aversive and positive movie clips engages common and distinct neural substrates"	"2015"	"10.1093/scan/nsu091"	"WOS:000353546800019"
"Telzer, EH; Fuligni, AJ; Lieberman, MD; Miernicki, ME; Galvan, A"	"The quality of adolescents' peer relationships modulates neural sensitivity to risk taking"	"2015"	"10.1093/scan/nsu064"	"WOS:000351526400011"
"Aube, W; Angulo-Perkins, A; Peretz, I; Concha, L; Armony, JL"	"Fear across the senses: brain responses to music, vocalizations and facial expressions"	"2015"	"10.1093/scan/nsu067"	"WOS:000351526400012"
"van der Velde, J; Gromann, PM; Swart, M; Wiersma, D; de Haan, L; Bruggeman, R; Krabbendam, L; Aleman, A"	"Alexithymia influences brain activation during emotion perception but not regulation"	"2015"	"10.1093/scan/nsu056"	"WOS:000350108800017"
"Abu-Akel, A; Palgi, S; Klein, E; Decety, J; Shamay-Tsoory, S"	"Oxytocin increases empathy to pain when adopting the other- but not the self-perspective"	"2015"	"10.1080/17470919.2014.948637"	"WOS:000345501400002"
"Gerlach, KD; Spreng, RN; Madore, KP; Schacter, DL"	"Future planning: default network activity couples with frontoparietal control network and reward-processing regions during process and outcome simulations"	"2014"	"10.1093/scan/nsu001"	"WOS:000350105900011"
"Klackl, J; Jonas, E; Kronbichler, M"	"Existential neuroscience: self-esteem moderates neuronal responses to mortality-related stimuli"	"2014"	"10.1093/scan/nst167"	"WOS:000345846800014"
"Murch, KB; Krawczyk, DC"	"A neuroimaging investigation of attribute framing and individual differences"	"2014"	"10.1093/scan/nst140"	"WOS:000342986700004"
"Clithero, JA; Rangel, A"	"Informatic parcellation of the network involved in the computation of subjective value"	"2014"	"10.1093/scan/nst106"	"WOS:000342985600006"
"Ahs, F; Davis, CF; Gorka, AX; Hariri, AR"	"Feature-based representations of emotional facial expressions in the human amygdala"	"2014"	"10.1093/scan/nst112"	"WOS:000342985600017"
"Klimecki, OM; Leiberg, S; Ricard, M; Singer, T"	"Differential pattern of functional brain plasticity after compassion and empathy training"	"2014"	"10.1093/scan/nst060"	"WOS:000337076600018"
"Szpunar, KK; St Jacques, PL; Robbins, CA; Wig, GS; Schacter, DL"	"Repetition-related reductions in neural activity reveal component processes of mental simulation"	"2014"	"10.1093/scan/nst035"	"WOS:000336489000019"
"Fett, AKJ; Gromann, PM; Giampietro, V; Shergill, SS; Krabbendam, L"	"Default distrust? An fMRI investigation of the neural development of trust and cooperation"	"2014"	"10.1093/scan/nss144"	"WOS:000336488700001"
"Fareri, DS; Delgado, MR"	"Differential reward responses during competition against in- and out-of-network others"	"2014"	"10.1093/scan/nst006"	"WOS:000336488700003"
"Seo, D; Olman, CA; Haut, KM; Sinha, R; MacDonald, AW; Patrick, CJ"	"Neural correlates of preparatory and regulatory control over positive and negative emotion"	"2014"	"10.1093/scan/nst115"	"WOS:000336488700013"
"Thom, NJ; Johnson, DC; Flagan, T; Simmons, AN; Kotturi, SA; Van Orden, KF; Potterat, EG; Swain, JL; Paulus, MP"	"Detecting emotion in others: increased insula and decreased medial prefrontal cortex activation during emotion processing in elite adventure racers"	"2014"	"10.1093/scan/nss127"	"WOS:000336488000012"
"Decety, J; Skelly, L; Yoder, KJ; Kiehl, KA"	"Neural processing of dynamic emotional facial expressions in psychopaths"	"2014"	"10.1080/17470919.2013.866905"	"WOS:000328929900004"
"Raz, G; Jacob, Y; Gonen, T; Winetraub, Y; Flash, T; Soreq, E; Hendler, T"	"Cry for her or cry with her: context-dependent dissociation of two modes of cinematic empathy reflected in network cohesion dynamics"	"2014"	"10.1093/scan/nst052"	"WOS:000336487400005"
"Creswell, JD; Bursley, JK; Satpute, AB"	"Neural reactivation links unconscious thought to decision-making performance"	"2013"	"10.1093/scan/nst004"	"WOS:000327549100004"
"Vanderhasselt, MA; Kuhn, S; De Raedt, R"	"'Put on your poker face': neural systems supporting the anticipation for expressive suppression and cognitive reappraisal"	"2013"	"10.1093/scan/nss090"	"WOS:000327549100009"
"Lindeman, M; Svedholm, AM; Riekki, T; Raij, T; Hari, R"	"Is it just a brick wall or a sign from the universe? An fMRI study of supernatural believers and skeptics"	"2013"	"10.1093/scan/nss096"	"WOS:000327549100014"
"Cassidy, BS; Leshikar, ED; Shih, JY; Aizenman, A; Gutchess, AH"	"Valence-based age differences in medial prefrontal activity during impression formation"	"2013"	"10.1080/17470919.2013.832373"	"WOS:000324614100007"
"Landa, A; Wang, ZS; Russell, JA; Posner, J; Duan, YS; Kangarlu, A; Huo, YK; Fallon, BA; Peterson, BS"	"Distinct neural circuits subserve interpersonal and non-interpersonal emotions"	"2013"	"10.1080/17470919.2013.833984"	"WOS:000324614100008"
"Mende-Siedlecki, P; Cai, Y; Todorov, A"	"The neural dynamics of updating person impressions"	"2013"	"10.1093/scan/nss040"	"WOS:000323454700003"
"Tsukiura, T; Shigemune, Y; Nouchi, R; Kambara, T; Kawashima, R"	"Insular and hippocampal contributions to remembering people with an impression of bad personality"	"2013"	"10.1093/scan/nss025"	"WOS:000323653000005"
"Janowski, V; Camerer, C; Rangel, A"	"Empathic choice involves vmPFC value signals that are modulated by social processing implemented in IPL"	"2013"	"10.1093/scan/nsr086"	"WOS:000316419200010"
"Taylor, VA; Daneault, V; Grant, J; Scavone, G; Breton, E; Roffe-Vidal, S; Courtemanche, J; Lavarenne, AS; Marrelec, G; Benali, H; Beauregard, M"	"Impact of meditation training on the default mode network during a restful state"	"2013"	"10.1093/scan/nsr087"	"WOS:000313649700002"
"Farb, NAS; Segal, ZV; Anderson, AK"	"Mindfulness meditation training alters cortical representations of interoceptive attention"	"2013"	"10.1093/scan/nss066"	"WOS:000313649700003"
"Lelieveld, GJ; Van Dijk, E; Guroglu, B; Van Beest, I; Van Kleef, GA; Rombouts, SARB; Crone, EA"	"Behavioral and neural reactions to emotions of others in the distribution of resources"	"2013"	"10.1080/17470919.2012.735621"	"WOS:000313641800007"
"Paul, VG; Rauch, AV; Kugel, H; ter Horst, L; Bauer, J; Dannlowski, U; Ohrmann, P; Lindner, C; Donges, US; Kersting, A; Egloff, B; Suslow, T"	"High responsivity to threat during the initial stage of perception in repression: a 3 T fMRI study"	"2012"	"10.1093/scan/nsr080"	"WOS:000311671100012"
"Aue, T; Nusbaum, HC; Cacioppo, JT"	"Neural correlates of wishful thinking"	"2012"	"10.1093/scan/nsr081"	"WOS:000311671100013"
"Simon-Thomas, ER; Godzik, J; Castle, E; Antonenko, O; Ponz, A; Kogan, A; Keltner, DJ"	"An fMRI study of caring vs self-focus during induced compassion and pride"	"2012"	"10.1093/scan/nsr045"	"WOS:000308233400003"
"Krendl, AC; Kensinger, EA; Ambady, N"	"How does the brain regulate negative bias to stigma?"	"2012"	"10.1093/scan/nsr046"	"WOS:000308233400011"
"Lee, KH; Siegle, GJ"	"Common and distinct brain networks underlying explicit emotional evaluation: a meta-analytic study"	"2012"	"10.1093/scan/nsp001"	"WOS:000305409900004"
"Severens, E; Kuhn, S; Hartsuiker, RJ; Brass, M"	"Functional mechanisms involved in the internal inhibition of taboo words"	"2012"	"10.1093/scan/nsr030"	"WOS:000302808200007"
"Bhanji, JP; Beer, JS"	"Unpacking the neural associations of emotion and judgment in emotion-congruent judgment"	"2012"	"10.1093/scan/nsr015"	"WOS:000302810100012"
"Zebrowitz, LA; Zhang, Y"	"Neural evidence for reduced apprehensiveness of familiarized stimuli in a mere exposure paradigm"	"2012"	"10.1080/17470919.2011.628409"	"WOS:000307233000002"
"Winkel, J; Wijnen, JG; Danielmeier, C; Groen, IIA; Derrfuss, J; Ridderinkhof, KR; Forstmann, BU"	"Observed and self-experienced conflict induce similar behavioral and neural adaptation"	"2012"	"10.1080/17470919.2011.628760"	"WOS:000307233000006"
"Korn, HA; Johnson, MA; Chun, MM"	"Neurolaw: Differential brain activity for Black and White faces predicts damage awards in hypothetical employment discrimination cases"	"2012"	"10.1080/17470919.2011.631739"	"WOS:000307233000007"
"Leshikar, ED; Duarte, A"	"Medial prefrontal cortex supports source memory accuracy for self-referenced items"	"2012"	"10.1080/17470919.2011.585242"	"WOS:000302405700002"
"Rogalsky, C; Vidal, C; Li, XR; Damasio, H"	"Risky decision-making in older adults without cognitive deficits: An fMRI study of VMPFC using the Iowa Gambling Task"	"2012"	"10.1080/17470919.2011.588340"	"WOS:000302405700005"
"Shaw, DJ; Grosbras, MH; Leonard, G; Pike, GB; Paus, T"	"Development of the action observation network during early adolescence: a longitudinal study"	"2012"	"10.1093/scan/nsq105"	"WOS:000298891400007"
"Samanez-Larkin, GR; Wagner, AD; Knutson, B"	"Expected value information improves financial risk taking across the adult life span"	"2011"	"10.1093/scan/nsq043"	"WOS:000291543100006"
"Keightley, ML; Chiew, KS; Anderson, JAE; Grady, CL"	"Neural correlates of recognition memory for emotional faces and scenes"	"2011"	"10.1093/scan/nsq003"	"WOS:000289729500004"
"Jagiellowicz, J; Xu, XM; Aron, A; Aron, E; Cao, GK; Feng, TY; Weng, XC"	"The trait of sensory processing sensitivity and neural responses to changes in visual scenes"	"2011"	"10.1093/scan/nsq001"	"WOS:000289729500005"
"Tacikowski, P; Brechmann, A; Marchewka, A; Jednorog, K; Dobrowolny, M; Nowicka, A"	"Is it about the self or the significance? An fMRI study of self-name recognition"	"2011"	"10.1080/17470919.2010.490665"	"WOS:000287028400008"
"Nicolle, A; Bach, DR; Frith, C; Dolan, RJ"	"Amygdala involvement in self-blame regret"	"2011"	"10.1080/17470919.2010.506128"	"WOS:000288275800006"
"Beeney, JE; Franklin, RG; Levy, KN; Adams, RB"	"I feel your pain: Emotional closeness modulates neural responses to empathically experienced rejection"	"2011"	"10.1080/17470919.2011.557245"	"WOS:000299570300005"
"Koelkebeck, K; Hirao, K; Kawada, R; Miyata, J; Saze, T; Ubukata, S; Itakura, S; Kanakogi, Y; Ohrmann, P; Bauer, J; Pedersen, A; Sawamoto, N; Fukuyama, H; Takahashi, H; Murai, T"	"Transcultural differences in brain activation patterns during theory of mind (ToM) task performance in Japanese and Caucasian participants"	"2011"	"10.1080/17470919.2011.620763"	"WOS:000299570500015"
"Chiao, JY; Hariri, AR; Harada, T; Mano, Y; Sadato, N; Parrish, TB; Iidaka, T"	"Theory and methods in cultural neuroscience"	"2010"	"10.1093/scan/nsq063"	"WOS:000282071900028"
"Harris, LT; Fiske, ST"	"Neural regions that underlie reinforcement learning are also active for social expectancy violations"	"2010"	"10.1080/17470910903135825"	"WOS:000277748800006"
"Regenbogen, C; Herrmann, M; Fehr, T"	"The neural processing of voluntary completed, real and virtual violent and nonviolent computer game scenarios displaying predefined actions in gamers and nongamers"	"2010"	"10.1080/17470910903315989"	"WOS:000277749000007"
"von dem Hagen, EAH; Beaver, JD; Ewbank, MP; Keane, J; Passamonti, L; Lawrence, AD; Calder, AJ"	"Leaving a bad taste in your mouth but not in my insula"	"2009"	"10.1093/scan/nsp018"	"WOS:000273231000007"
"Cooper, JC; Hollon, NG; Wimmer, GE; Knutson, B"	"Available alternative incentives modulate anticipatory nucleus accumbens activation"	"2009"	"10.1093/scan/nsp031"	"WOS:000273231000010"
"Lieberman, MD; Cunningham, WA"	"Type I and Type II error concerns in fMRI research: re-balancing the scale"	"2009"	"10.1093/scan/nsp052"	"WOS:000273231000012"
"van den Bos, W; van Dijk, E; Westenberg, M; Rombouts, SARB; Crone, EA"	"What motivates repayment? Neural correlates of reciprocity in the Trust Game"	"2009"	"10.1093/scan/nsp009"	"WOS:000269210400009"
"Schjoedt, U; Stdkilde-Jorgensen, H; Geertz, AW; Roepstorff, A"	"Highly religious participants recruit areas of social cognition in personal prayer"	"2009"	"10.1093/scan/nsn050"	"WOS:000266499600010"
"Volz, KG; Kessler, T; von Cramon, DY"	"In-group as part of the self: In-group favoritism is mediated by medial prefrontal cortex activation"	"2009"	"10.1080/17470910802553565"	"WOS:000265895400004"
"Monteleone, GT; Phan, KL; Nusbaum, HC; Fitzgerald, D; Irick, JS; Fienberg, SE; Cacioppo, JT"	"Detection of deception using fMRI: Better than chance, but well below perfection"	"2009"	"10.1080/17470910801903530"	"WOS:000270137900006"
"Eres, R; Louis, WR; Molenberghs, P"	"Why do people pirate? A neuroimaging investigation"	"2017"	"10.1080/17470919.2016.1179671"	"WOS:000401714800002"
"Ueda, R; Ashida, H; Yanagisawa, K; Abe, N"	"The neural basis of individual differences in mate poaching"	"2017"	"10.1080/17470919.2016.1182065"	"WOS:000401714800005"
"Vezich, IS; Gunter, BC; Lieberman, MD"	"The mere green effect: An fMRI study of pro-environmental advertisements"	"2017"	"10.1080/17470919.2016.1182587"	"WOS:000401714800006"
"Wang, XT; Rao, LL; Zheng, HM"	"Neural substrates of framing effects in social contexts: A meta-analytical approach"	"2017"	"10.1080/17470919.2016.1165285"	"WOS:000399603200004"
"Wlodarski, R; Dunbar, RIM"	"When BOLD is thicker than water: processing social information about kin and friends at different levels of the social network"	"2016"	"10.1093/scan/nsw101"	"WOS:000397311400011"
"Torrisi, S; Robinson, O; O'Connell, K; Davis, A; Balderston, N; Ernst, M; Grillon, C"	"The neural basis of improved cognitive performance by threat of shock"	"2016"	"10.1093/scan/nsw088"	"WOS:000388940000001"
"Mende-Siedlecki, P; Todorov, A"	"Neural dissociations between meaningful and mere inconsistency in impression updating"	"2016"	"10.1093/scan/nsw058"	"WOS:000383727400016"
"Oba, K; Noriuchi, M; Atomi, T; Moriguchi, Y; Kikuchi, Y"	"Memory and reward systems coproduce 'nostalgic' experiences in the brain"	"2016"	"10.1093/scan/nsv073"	"WOS:000381229100006"
"Inagaki, TK; Muscatell, KA; Moieni, M; Dutcher, JM; Jevtic, I; Irwin, MR; Eisenberger, NI"	"Yearning for connection? Loneliness is associated with increased ventral striatum activity to close others"	"2016"	"10.1093/scan/nsv076"	"WOS:000381229100009"
"Muscatell, KA; Dedovic, K; Slavich, GM; Jarcho, MR; Breen, EC; Bower, JE; Irwin, MR; Eisenberger, NI"	"Neural mechanisms linking social status and inflammatory responses to social stress"	"2016"	"10.1093/scan/nsw025"	"WOS:000381229900007"
"Dong, SY; Kim, BK; Lee, SY"	"Implicit agreeing/disagreeing intention while reading self-relevant sentences: A human fMRI study"	"2016"	"10.1080/17470919.2015.1059362"	"WOS:000373485000001"
"Charpentier, CJ; De Martino, B; Sim, AL; Sharot, T; Roiser, JP"	"Emotion-induced loss aversion and striatal-amygdala coupling in low-anxious individuals"	"2016"	"10.1093/scan/nsv139"	"WOS:000374227700005"
"Pan, WG; Liu, CC; Yang, Q; Gu, Y; Yin, SH; Chen, AT"	"The neural basis of trait self-esteem revealed by the amplitude of low-frequency fluctuations and resting state functional connectivity"	"2016"	"10.1093/scan/nsv119"	"WOS:000374227100002"
"Chakroff, A; Dungan, J; Koster-Hale, J; Brown, A; Saxe, R; Young, L"	"When minds matter for moral judgment: intent information is neurally encoded for harmful but not impure acts"	"2016"	"10.1093/scan/nsv131"	"WOS:000374227100013"
"Kong, F; Wang, X; Song, YY; Liu, J"	"Brain regions involved in dispositional mindfulness during resting state and their relation with well-being"	"2016"	"10.1080/17470919.2015.1092469"	"WOS:000382214600001"
"Han, MF; Bi, CZ; Ybarra, O"	"Common and distinct neural mechanisms of the fundamental dimensions of social cognition"	"2016"	"10.1080/17470919.2015.1108931"	"WOS:000382214600006"
"Hu, J; Blue, PR; Yu, HB; Gong, XL; Xiang, Y; Jiang, CJ; Zhou, XL"	"Social status modulates the neural response to unfairness"	"2016"	"10.1093/scan/nsv086"	"WOS:000368628600001"
"Powers, KE; Chavez, RS; Heatherton, TF"	"Individual differences in response of dorsomedial prefrontal cortex predict daily social behavior"	"2016"	"10.1093/scan/nsv096"	"WOS:000368628600012"
"Wade-Bohleber, LM; Boeker, H; Ernst, J; Grimm, S; Brugger, N; Benvian, IM; Vetter, J; Preller, KH; Himmighoffen, H; Kleim, B; Seifritz, E; Richter, A"	"Thinking about the past to shape the present: neural activation during the recall of relationship episodes"	"2019"	"10.1016/j.bbr.2018.08.001"	"WOS:000456222600089"
"Hawton, K; Ferriday, D; Rogers, P; Toner, P; Brooks, J; Holly, J; Biernacka, K; Hamilton-Shield, J; Hinton, E"	"Slow Down: Behavioural and Physiological Effects of Reducing Eating Rate"	"2019"	"10.3390/nu11010050"	"WOS:000457474600006"
"Quintana, DS; Westlye, LT; Alnaes, D; Kaufmann, T; Mahmoud, RA; Smerud, KT; Djupesland, PG; Andreassen, OA"	"Low-dose intranasal oxytocin delivered with Breath Powered device modulates pupil diameter and amygdala activity: a randomized controlled pupillometry and fMRI study"	"2019"	"10.1038/s41386-018-0241-3"	"WOS:000455374000010"
"Striem-Amit, E; Wang, XY; Bi, YC; Caramazza, A"	"Neural representation of visual concepts in people born blind"	"2018"	"10.1038/s41467-018-07574-3"	"WOS:000452633200009"
"Rudorf, S; Baumgartner, T; Markett, S; Schmelz, K; Wiest, R; Fischbacher, U; Knoch, D"	"Intrinsic connectivity networks underlying individual differences in control-averse behavior"	"2018"	"10.1002/hbm.24328"	"WOS:000449673400018"
"Guo, JJ; Li, DD; Bi, YL; Chen, CH"	"Modulating Effects of Contextual Emotions on the Neural Plasticity Induced by Word Learning"	"2018"	"10.3389/fnhum.2018.00464"	"WOS:000451205300001"
"Resibois, M; Rotge, JY; Delaveau, P; Kuppens, P; Van Mechelen, I; Fossati, P; Verduyn, P"	"The impact of self-distancing on emotion explosiveness and accumulation: An fMRI study"	"2018"	"10.1371/journal.pone.0206889"	"WOS:000449374000029"
"Buchwald, M; Przybylski, L; Kroliczak, G"	"Decoding Brain States for Planning Functional Grasps of Tools: A Functional Magnetic Resonance Imaging Multivoxel Pattern Analysis Study"	"2018"	"10.1017/S1355617718000590"	"WOS:000450425500001"
"Wiese, E; Buzzell, GA; Abubshait, A; Beatty, PJ"	"Seeing minds in others: Mind perception modulates low-level social-cognitive performance and relates to ventromedial prefrontal structures"	"2018"	"10.3758/s13415-018-0608-2"	"WOS:000442467700002"
"Dubois, J; Galdi, P; Paul, LK; Adolphs, R"	"A distributed brain network predicts general intelligence from resting-state human neuroimaging data"	"2018"	"10.1098/rstb.2017.0284"	"WOS:000441443800005"
"Naseri, P; Majd, HA; Najibi, SM; Tabatabaee, SM; Faghihzadeh, E"	"Neural Processing of Food Stimuli in Self-Regulation Brain Regions using Bayesian General Linear Modeling Approach"	"2018"	""	"WOS:000443352400006"
"Feng, CL; Yuan, J; Geng, HY; Gu, RL; Zhou, H; Wu, X; Luo, YJ"	"Individualized prediction of trait narcissism from whole-brain resting-state functional connectivity"	"2018"	"10.1002/hbm.24205"	"WOS:000441276600018"
"Butler, EE; Ward, R; Downing, PE; Ramsey, R"	"fMRI repetition suppression reveals no sensitivity to trait judgments from faces in face perception or theory-of-mind networks"	"2018"	"10.1371/journal.pone.0201237"	"WOS:000441662800005"
"Wolf, D; Mittelberg, I; Rekittke, LM; Bhavsar, S; Zvyagintsev, M; Haeck, A; Cong, FY; Klasen, M; Mathiak, K"	"Interpretation of Social Interactions: Functional Imaging of Cognitive-Semiotic Categories During Naturalistic Viewing"	"2018"	"10.3389/fnhum.2018.00296"	"WOS:000441708700001"
"Morelli, SA; Leong, YC; Carlson, RW; Kullar, M; Zaki, J"	"Neural detection of socially valued community members"	"2018"	"10.1073/pnas.1712811115"	"WOS:000440982000045"
"Vaughn, DA; Savjani, RR; Cohen, MS; Eagleman, DM"	"Empathic Neural Responses Predict Group Allegiance"	"2018"	"10.3389/fnhum.2018.00302"	"WOS:000440377300001"
"Zhang, PW; Qu, XJ; Qian, SF; Wang, XB; Wang, RD; Li, QY; Liu, SY; Chen, LH; Liu, DQ"	"Distinction Between Variability-Based Modulation and Mean-Based Activation Revealed by BOLD-fMRI and Eyes-Open/Eyes-Closed Contrast"	"2018"	"10.3389/fnins.2018.00516"	"WOS:000440353100003"
"Thye, MD; Ammons, CJ; Murdaugh, DL; Kana, RK"	"Differential recruitment of theory of mind brain network across three tasks: An independent component analysis"	"2018"	"10.1016/j.bbr.2018.03.041"	"WOS:000436916800044"
"Paulus, FM; Muller-Pinzler, L; Stolz, DS; Mayer, AV; Rademacher, L; Krach, S"	"Laugh or cringe? Common and distinct processes of reward-based schadenfreude and empathy-based fremdscham"	"2018"	"10.1016/j.neuropsychologia.2017.05.030"	"WOS:000443791400007"
"DiLorenzo, MG; Chum, GT; Weidmark, LV; MacDonald, G"	"Presence of an Attachment Figure Is Associated With Greater Sensitivity to Physical Pain Following Mild Social Exclusion"	"2018"	"10.1177/1948550617720270"	"WOS:000443351900011"
"Javanbakht, A; Tompson, S; Kitayama, S; King, A; Yoon, C; Liberzon, I"	"Gene by Culture Effects on Emotional Processing of Social Cues among East Asians and European Americans"	"2018"	"10.3390/bs8070062"	"WOS:000440208700002"
"Konovalov, A; Krajbich, I"	"Neurocomputational Dynamics of Sequence Learning"	"2018"	"10.1016/j.neuron.2018.05.013"	"WOS:000436587600024"
"De Vries, ELE; Fennis, BM; Bijmolt, THA; Ter Horst, GJ; Marsman, JBC"	"Friends with benefits: Behavioral and fMRI studies on the effect of friendship reminders on self-control for compulsive and non-compulsive buyers"	"2018"	"10.1016/j.ijresmar.2017.12.004"	"WOS:000438325700010"
"Zhou, GF; Liu, JG; Xiao, NQG; Wu, SJ; Li, H; Lee, K"	"The Fusiform Face Area Plays a Greater Role in Holistic Processing for Own-Race Faces Than Other-Race Faces"	"2018"	"10.3389/fnhum.2018.00220"	"WOS:000433903500001"
"Ying, XP; Luo, J; Chiu, CY; Wu, YH; Xu, Y; Fan, J"	"Functional Dissociation of the Posterior and Anterior Insula in Moral Disgust"	"2018"	"10.3389/fpsyg.2018.00860"	"WOS:000433900700001"
"Ruissen, MI; Overgaauw, S; de Bruijn, ERA"	"Being right, but losing money: the role of striatum in joint decision making"	"2018"	"10.1038/s41598-018-24617-3"	"WOS:000431104900012"
"Lee, TW; Xue, SW"	"Revisiting the Functional and Structural Connectivity of Large-Scale Cortical Networks"	"2018"	"10.1089/brain.2017.0536"	"WOS:000440870900002"
"Walbrin, J; Downing, P; Koldewyn, K"	"Neural responses to visually observed social interactions"	"2018"	"10.1016/j.neuropsychologia.2018.02.023"	"WOS:000430521500004"
"Hobkirk, AL; Nichols, TT; Foulds, J; Yingst, JM; Veldheer, S; Hrabovsky, S; Richie, J; Eissenberg, T; Wilson, SJ"	"Changes in resting state functional brain connectivity and withdrawal symptoms are associated with acute electronic cigarette use"	"2018"	"10.1016/j.brainresbull.2017.05.010"	"WOS:000430623600008"
