UT	AU	TI	PY	DI	study_number	coder	main_finding_short	main_finding_long	finding_in_abstract	coding_rule	is_replication	is_exploratory	coder_comments
WOS:000381369500024	"Mayhugh, RE; Moussa, MN; Simpson, SL; Lyday, RG; Burdette, JH; Porrino, LJ; Laurienti, PJ"	Moderate-Heavy Alcohol Consumption Lifestyle in Older Adults Is Associated with Altered Central Executive Network Community Structure during Cognitive Task	2016	10.1371/journal.pone.0160214	1								
WOS:000308692400001	"Herwig, U; Kaffenberger, T; Schell, C; Jancke, L; Bruhl, AB"	Neural activity associated with self-reflection	2012	10.1186/1471-2202-13-52	1								
WOS:000391563700001	"Clemens, B; Wagels, L; Bauchmuller, M; Bergs, R; Habel, U; Kohn, N"	Alerted default mode: functional connectivity changes in the aftermath of social stress	2017	10.1038/srep40180	1								
WOS:000323454700009	"Beckes, L; Coan, JA; Hasselmo, K"	Familiarity promotes the blurring of self and other in the neural representation of threat	2013	10.1093/scan/nss046	1								
WOS:000368979900001	"Dominguez, JF; Taing, SA; Molenberghs, P"	Why Do Some Find it Hard to Disagree? An fMRI Study	2016	10.3389/fnhum.2015.00718	1								
WOS:000390510700011	"Pannese, A; Grandjean, D; Fruhholz, S"	Amygdala and auditory cortex exhibit distinct sensitivity to relevant acoustic features of auditory emotions	2016	10.1016/j.cortex.2016.10.013	1								
WOS:000382214600006	"Han, MF; Bi, CZ; Ybarra, O"	Common and distinct neural mechanisms of the fundamental dimensions of social cognition	2016	10.1080/17470919.2015.1108931	1								
WOS:000370547000003	"Seara-Cardoso, A; Sebastian, CL; Viding, E; Roiser, JP"	Affective resonance in response to others' emotional faces varies with affective ratings and psychopathic traits in amygdala and anterior insula	2016	10.1080/17470919.2015.1044672	1								
WOS:000291543100007	"Albrecht, K; Volz, KG; Sutter, M; Laibson, DI; von Cramon, DY"	What is for me is not for you: brain correlates of intertemporal choice for self and other	2011	10.1093/scan/nsq046	1								
WOS:000351526400011	"Telzer, EH; Fuligni, AJ; Lieberman, MD; Miernicki, ME; Galvan, A"	The quality of adolescents' peer relationships modulates neural sensitivity to risk taking	2015	10.1093/scan/nsu064	1								
WOS:000383306200004	"Muscatell, KA; Moieni, M; Inagaki, TK; Dutcher, JM; Jevtic, I; Breen, EC; Irwin, MR; Eisenberger, NI"	Exposure to an inflammatory challenge enhances neural sensitivity to negative and positive social feedback	2016	10.1016/j.bbi.2016.03.022	1								
WOS:000381399200048	"Tong, LCP; Ye, KJ; Asai, K; Ertac, S; List, JA; Nusbaum, HC; Hortacsu, A"	Trading experience modulates anterior insula to reduce the endowment effect	2016	10.1073/pnas.1519853113	1								
WOS:000419578300002	"Liu, Y; Wu, B; Wang, XN; Li, WX; Zhang, T; Wu, XH; Han, SH"	Oxytocin effects on self-referential processing: behavioral and neuroimaging evidence	2017	10.1093/scan/nsx116	3								
WOS:000328943100008	"Quaedflieg, CWEM; Meyer, T; Smeets, T"	The imaging Maastricht Acute Stress Test (iMAST): A neuroimaging compatible psychophysiological stressor	2013	10.1111/psyp.12058	1								
WOS:000278637700040	"Stanley, J; Gowen, E; Miall, RC"	How instructions modify perception: An fMRI study investigating brain areas involved in attributing human agency	2010	10.1016/j.neuroimage.2010.04.025	1								
WOS:000359649500003	"Bonenberger, M; Plener, PL; Groschwitz, RC; Gron, G; Abler, B"	"Polymorphism in the A mu-opioid receptor gene (OPRM1) modulates neural processing of physical pain, social rejection and error processing"	2015	10.1007/s00221-015-4322-9	1								
WOS:000315769300005	"Brunnlieb, C; Munte, TF; Kramer, U; Tempelmann, C; Heldmann, M"	Vasopressin modulates neural responses during human reactive aggression	2013	10.1080/17470919.2013.763654	1								
WOS:000313641800007	"Lelieveld, GJ; Van Dijk, E; Guroglu, B; Van Beest, I; Van Kleef, GA; Rombouts, SARB; Crone, EA"	Behavioral and neural reactions to emotions of others in the distribution of resources	2013	10.1080/17470919.2012.735621	1								
WOS:000451061700020	"Takeuchi, H; Taki, Y; Nouchi, R; Yokoyama, R; Kotozaki, Y; Nakagawa, S; Sekiguchi, A; Iizuka, K; Hanawa, S; Araki, T; Miyauchi, CM; Sakaki, K; Sassa, Y; Nozawa, T; Ikeda, S; Yokota, S; Daniele, M; Kawashima, R"	General intelligence is associated with working memory-related brain activity: new evidence from a large sample study	2018	10.1007/s00429-018-1747-5	1								
WOS:000366646700096	"Sobczak-Edmans, M; Ng, THB; Chan, YC; Chew, E; Chuang, KH; Chen, SHA"	Temporal dynamics of visual working memory	2016	10.1016/j.neuroimage.2015.09.038	1								
WOS:000293636000001	"Schilbach, L; Eickhoff, SB; Cieslik, E; Shah, NJ; Fink, GR; Vogeley, K"	Eyes on me: an fMRI study of the effects of social gaze on action control	2011	10.1093/scan/nsq067	1								
WOS:000446054000002	"Dien, J; Karuzis, V; Haarmann, HJ"	Probing culture in the head: the neural correlates of relational models	2018	10.1080/17470919.2018.1459313	1								
WOS:000354111600004	"Spunt, RP; Meyer, ML; Lieberman, MD"	The Default Mode of Human Brain Function Primes the Intentional Stance	2015	10.1162/jocn_a_00785	1								
WOS:000426620700013	"Ohtsubo, Y; Matsunaga, M; Tanaka, H; Suzuki, K; Kobayashi, F; Shibata, E; Hori, R; Umemura, T; Ohira, H"	Costly apologies communicate conciliatory intention: an fMRI study on forgiveness in response to costly apologies	2018	10.1016/j.evolhumbehav.2018.01.004	1								
WOS:000280932400048	"Oosterhof, NN; Wiggett, AJ; Diedrichsen, J; Tipper, SP; Downing, PE"	Surface-Based Information Mapping Reveals Crossmodal Vision-Action Representations in Human Parietal and Occipitotemporal Cortex	2010	10.1152/jn.00326.2010	1								
WOS:000406296500004	"Heinzel, S; Lorenz, RC; Duong, QL; Rapp, MA; Deserno, L"	Prefrontal-parietal effective connectivity during working memory in older adults	2017	10.1016/j.neurobiolaging.2017.05.005	1								
WOS:000367481900026	"Chen, B; Xu, T; Zhou, CL; Wang, LY; Yang, N; Wang, Z; Dong, HM; Yang, Z; Zang, YF; Zuo, XN; Weng, XC"	Individual Variability and Test-Retest Reliability Revealed by Ten Repeated Resting-State Brain Scans over One Month	2015	10.1371/journal.pone.0144963	1								
WOS:000434747600007	"Radke, S; Seidel, EM; Boubela, RN; Thaler, H; Metzler, H; Kryspin-Exner, I; Moser, E; Habel, U; Derntl, B"	Immediate and delayed neuroendocrine responses to social exclusion in males and females	2018	10.1016/j.psyneuen.2018.04.005	1								
WOS:000274948400038	"Rameson, LT; Satpute, AB; Lieberman, MD"	The neural correlates of implicit and explicit self-relevant processing	2010	10.1016/j.neuroimage.2009.12.098	1								
WOS:000438325700010	"De Vries, ELE; Fennis, BM; Bijmolt, THA; Ter Horst, GJ; Marsman, JBC"	Friends with benefits: Behavioral and fMRI studies on the effect of friendship reminders on self-control for compulsive and non-compulsive buyers	2018	10.1016/j.ijresmar.2017.12.004	5								
WOS:000371340800002	"Macoveanu, J; Ramsoy, TZ; Skov, M; Siebner, HR; Fosgaard, TR"	The Neural Bases of Framing Effects in Social Dilemmas	2016	10.1037/npe0000050	2								
WOS:000291543600002	"Raposo, A; Vicens, L; Clithero, JA; Dobbins, IG; Huettel, SA"	"Contributions of frontopolar cortex to judgments about self, others and relations"	2011	10.1093/scan/nsq033	1								
WOS:000307873400001	"Poore, JC; Pfeifer, JH; Berkman, ET; Inagaki, TK; Welborn, BL; Lieberman, MD"	Prediction-errror in the context of real social relationships modulates reward system activity	2012	10.3389/fnhum.2012.00218	1								
WOS:000324351800018	"Grezes, J; Adenis, MS; Pouga, L; Armony, JL"	Self-relevance modulates brain responses to angry body expressions	2013	10.1016/j.cortex.2012.08.025	1								
WOS:000417635900001	"Kepinska, O; de Rover, M; Caspers, J; Schiller, NO"	Connectivity of the hippocampus and Broca's area during acquisition of a novel grammar	2018	10.1016/j.neuroimage.2017.09.058	1								
WOS:000309392800025	"Wilbers, L; Deuker, L; Fell, J; Axmacher, N"	Are Autobiographical Memories Inherently Social? Evidence from an fMRI Study	2012	10.1371/journal.pone.0045089	1								
WOS:000325778300011	"Saxbe, DE; Yang, XF; Borofsky, LA; Immordino-Yang, MH"	The embodiment of emotion: language use during the feeling of social emotions predicts cortical somatosensory activity	2013	10.1093/scan/nss075	1								
WOS:000336489000004	"Moriguchi, Y; Touroutoglou, A; Dickerson, BC; Barrett, LF"	Sex differences in the neural correlates of affective experience	2014	10.1093/scan/nst030	1								
WOS:000387512000001	"Zhang, HJ; Mo, L"	Mentalizing and Information Propagation through Social Network: Evidence from a Resting-State-fMRI Study	2016	10.3389/fpsyg.2016.01716	1								
WOS:000427643700003	"Kruse, O; Leon, IT; Stalder, T; Stark, R; Klucken, T"	Altered reward learning and hippocampal connectivity following psychosocial stress	2018	10.1016/j.neuroimage.2017.12.076	1								
WOS:000406493300009	"Thornton, MA; Mitchell, JP"	Consistent Neural Activity Patterns Represent Personally Familiar People	2017	10.1162/jocn_a_01151	1								
WOS:000374227100001	"Cracco, E; Desmet, C; Brass, M"	When your error becomes my error: anterior insula activation in response to observed errors is modulated by agency	2016	10.1093/scan/nsv120	1								
WOS:000326785000001	"Smallwood, J; Gorgolewski, KJ; Golchert, J; Ruby, FJM; Engen, H; Baird, B; Vinski, MT; Schooler, JW; Margulies, DS"	The default modes of reading: modulation of posterior cingulate and medial prefrontal cortex connectivity associated with comprehension and task focus while reading	2013	10.3389/fnhum.2013.00734	1								
WOS:000362025000036	"Gilam, G; Lin, T; Raz, G; Azrielant, S; Fruchter, E; Ariely, D; Hendler, T"	Neural substrates underlying the tendency to accept anger-infused ultimatum offers during dynamic social interactions	2015	10.1016/j.neuroimage.2015.07.003	1								
WOS:000269035100083	"Amting, JM; Miller, JE; Chow, M; Mitchell, DGV"	Getting mixed messages: The impact of conflicting social signals on the brain's target emotional response	2009	10.1016/j.neuroimage.2009.05.011	1								
WOS:000209276900024	"Maurage, P; Bestelmeyer, PEG; Rouger, J; Charest, I; Belin, P"	Binge drinking influences the cerebral processing of vocal affective bursts in young adults	2013	10.1016/j.nicl.2013.08.010	1								
WOS:000343407500021	"Cooper, JC; Dunne, S; Furey, T; O'Doherty, JP"	The Role of the Posterior Temporal and Medial Prefrontal Cortices in Mediating Learning from Romantic Interest and Rejection	2014	10.1093/cercor/bht102	1								
WOS:000397312200010	"Vezich, IS; Katzman, PL; Ames, DL; Falk, EB; Lieberman, MD"	"Modulating the neural bases of persuasion: why/how, gain/loss, and users/non-users"	2017	10.1093/scan/nsw113	1								
WOS:000337600700003	"Aharoni, E; Mallett, J; Vincent, GM; Harenski, CL; Calhoun, VD; Sinnott-Armstrong, W; Gazzaniga, MS; Kiehl, KA"	Predictive accuracy in the neuroprediction of rearrest	2014	10.1080/17470919.2014.907201	1								
WOS:000341017300012	"Freeman, JB; Stolier, RM; Ingbretsen, ZA; Hehman, EA"	Amygdala Responsivity to High-Level Social Information from Unseen Faces	2014	10.1523/JNEUROSCI.5063-13.2014	2								
WOS:000327782500001	"Verbeke, W; Bagozzi, RP; van den Berg, WE; Lemmens, A"	Polymorphisms of the OXTR gene explain why sales professionals love to help customers	2013	10.3389/fnbeh.2013.00171	2								
WOS:000340068500002	"Hassabis, D; Spreng, RN; Rusu, AA; Robbins, CA; Mar, RA; Schacter, DL"	Imagine All the People: How the Brain Creates and Uses Personality Models to Predict Behavior	2014	10.1093/cercor/bht042	1								
WOS:000341936600001	"Peng, DC; Dai, XJ; Gong, HH; Li, HJ; Nie, X; Zhang, W"	Altered intrinsic regional brain activity in male patients with severe obstructive sleep apnea: a resting-state functional magnetic resonance imaging study	2014	10.2147/NDT.S67805	1								
WOS:000373801400007	"Lynn, MT; Demanet, J; Krebs, RM; Van Dessel, P; Brass, M"	Voluntary inhibition of pain avoidance behavior: an fMRI study	2016	10.1007/s00429-014-0972-9	1								
WOS:000442467700002	"Wiese, E; Buzzell, GA; Abubshait, A; Beatty, PJ"	Seeing minds in others: Mind perception modulates low-level social-cognitive performance and relates to ventromedial prefrontal structures	2018	10.3758/s13415-018-0608-2	1								
WOS:000294940500018	"Herbert, C; Herbert, BM; Pauli, P"	Emotional self-reference: Brain structures involved in the processing of words describing one's own emotions	2011	10.1016/j.neuropsychologia.2011.06.026	1								
WOS:000427121700002	"Richardson, H; Lisandrelli, G; Riobueno-Naylor, A; Saxe, R"	Development of the social brain from age three to twelve years	2018	10.1038/s41467-018-03399-2	1								
WOS:000269035100093	"Kokal, I; Gazzola, V; Keysers, C"	Acting together in and beyond the mirror neuron system	2009	10.1016/j.neuroimage.2009.06.010	1								
WOS:000332889100001	"Zhong, Y; Zheng, G; Liu, YJ; Lu, GM"	Independent Component Analysis of Instantaneous Power-Based fMRI	2014	10.1155/2014/579652	1								
WOS:000303971400017	"Chib, VS; De Martino, B; Shimojo, S; O'Doherty, JP"	Neural Mechanisms Underlying Paradoxical Performance for Monetary Incentives Are Driven by Loss Aversion	2012	10.1016/j.neuron.2012.02.038	1								
WOS:000316420200009	"Wessa, M; Heissler, J; Schonfelder, S; Kanske, P"	Goal-directed behavior under emotional distraction is preserved by enhanced task-specific activation	2013	10.1093/scan/nsr098	2								
